Language,String,Marathi,Hindi,Malayalam ,Nepali,Bengali,Gujarati,Punjabi,Tamil,Odia,Telugu,Kannada,Assamese,Khasi,Urdu
Image 1,1,दावा:,दावा:,വാദം:,दावी:,দাবী:,દાવો:,ਦਾਅਵਾ:,கூற்று:,ଦାବି:,ఆరోపణ:,ದಾವೆ:,দাবী :,Ka jingkam ka bym shisha:,دعویٰ :
,2,ह्या करोनाविषाणूची निर्मीती एखाद्या प्रयोगशाळेत झाली आहे.,कोरोना विषाणु को प्रयोगशाला में बनाया गया है।,നോവൽ കൊറോണ വൈറസ്  ഒരു ലാബിൽ നിർമ്മിച്ചതാണ്.,नोबेल कोरोना भाईरस प्रयोगशालामा बनाइएको हो ।,নভেল করোনা ভাইরাস পরীক্ষাগারে তৈরি।,નવલ કોરોના વાયરસ એક લેબમાં બનાવવામાં આવ્યો હતો.,ਨਾਵਲ ਕੋਰੋਨਾਵਾਇਰਸ ਇਕ ਲੈਬ ਵਿਚ ਬਣਾਇਆ ਗਿਆ ਸੀ.,நாவல் கொரோனா வைரஸ் கோவிட் -19 செயற்கையாக ஆய்வகத்தில் உருவாக்கப்பட்டது.,"ନୋଭେଲ କରୋନା  ଭାଇରସ୍ ବୈଜ୍ଞାନିକ ପରୀକ୍ଷାଗାରରେ  ପ୍ରସ୍ତୁତ  କରାଯାଇଥିଲା ।
",ఈ కొత్త కరోనా వైరస్ ను ఒక ల్యాబ్ లో(ప్రయోగశాలలో) తయారు చేశారు.,ಹೊಸ ಕೊರೊನಾವೈರಸ್ ಅನ್ನು ಲ್ಯಾಬ್‌ನಲ್ಲಿ ಮಾಡಲಾಗಿದೆ.,নতুন কৰ’না ভাইৰাছ গবেষণাগাৰত তৈয়াৰ কৰা হৈছিল।,Їa u Novel Coronavirus la shna ha ka kamra pyrshang ne kamra wadbniah (lab).,یہ نیا کورونا وائرس ایک لیب میں بنا ہے۔
,3,निर्णय:,निर्णय:,ശാസ്ത്രീയ പ്രതികരണം: ,निर्णय :,উত্তর:,નિષ્કર્ષ:,ਜਵਾਬ:,தீர்ப்பு:,ନିର୍ଣୟ :,తీర్పు:,ತೀರ್ಪು:,উত্তৰ :,Ka jingshem:,فیصلہ:
,4,खरं नाही.,असत्य / झूठ ,ശരിയല്ല!,सत्य होइन । ,সত্য নয়।,સાચું નથી!,ਗਲਤ!,உண்மை இல்லை!,ସତ ନୁହେଁ!,ఇది నిజం కాదు!,ನಿಜವಲ್ಲ!,মিছা !,Kam dei kaba shisha!,یہ سچ نہیں ہے۔
,5,,,,,,,,,,,,,,
,6,का?:,क्यों?:,എന്തുകൊണ്ട്?,किन?,কারণ:,શા માટે:,ਕਿਉਂ:,ஏன்:,କାହିଁକି:,ఎందుకు:,ಏಕೆ:,কিয়? :,Balei?,کیوں
,7,"सर्व विषाणूंचे स्वरूप नैसर्गिकरित्या बदलत असते. संशोधकांनी हे दाखवून दिले आहे की, हा विषाणू देखील नैसर्गिकरित्याच एका दुसऱ्या करोनाविषाणूपासून उत्क्रांत झाला आहे. म्हणजेच तो मानवनिर्मित नाही.",सभी विषाणु अक्सर समय के साथ प्राकृतिक रूप से बदलते हैं। वैज्ञानिकों ने पता लगाया है कि इस विषाणु की उत्पत्ति भी प्रकृतिक रूप से ही पहले से मौजूद कोई औेर कोरोना विषाणु से हुई है।,"എല്ലാ വൈറസുകൾക്കും  ചുരുങ്ങിയ സമയത്തിനുള്ളിൽ തന്നെ സ്വാഭാവികമായി മാറ്റങ്ങൾ സംഭവിക്കാറുണ്ട്. മാത്രമല്ല ഈ വൈറസ്  മുൻപേ കണ്ടെത്തിയിട്ടുള്ള ചില കൊറോണ വൈറസുകളിൽ നിന്ന് സ്വാഭാവികമായി പരിണമിച്ചുണ്ടായതെന്ന് ഗവേഷകർ തെളിയിച്ചിട്ടുമുണ്ട്. അതിനാൽ, ഇത് ഒരു പ്രകൃതിജന്യമായ വൈറസാണ്, ആരും  നിർമിച്ചതല്ല.",सबै भाईरसहरु समयसंगै म्युटेसन मार्फत परिवर्तन हुन्छन । अनुसन्धानकर्ताहरुक अनुसार नोबेल कोरोना भाईरस पनि विश्वमा पहिल्यै अस्तित्वमा रहेको कोरोना भाईरसहरुबाट म्युटेसनमार्फत प्राकृतिक रुपमै बनेको हो । त्यसैले यो प्रयोगशालामा बनाएको नभई प्रकृतिमै बहेको हो ।,"সব ভাইরাসই সময়ের সাথে সাথে,  প্রাকৃতিক ভাবেই পরিব্যাক্তির মাধ্যমে পরিবর্তিত হয়। 
এক্ষেত্রেও গবেষকরা দেখিয়েছেন, এই ভাইরাসটি  প্রাকৃতিক ভাবে, আগেই উপস্থিত কোনো  একটি করোনা ভাইরাস প্রজাতির থেকে বিবর্তিত হয়েছে। অর্থাৎ, এর উৎস প্রাকৃতিক।","સમય જતાં બધા વાયરસ કુદરતી રીતે બદલાય છે. સંશોધનકારોએ બતાવ્યું છે કે આ વાયરસ પણ કોરોનાવાયરસના કેટલાક હાલના તાણથી કુદરતી રીતે વિકસિત થયો છે. આમ, તે કુદરતી મૂળ છે.","ਅਕਸਰ, ਵਾਇਰਸ ਪਰਿਵਰਤਨ ਦੁਆਰਾ ਸਮੇਂ ਦੇ ਨਾਲ ਕੁਦਰਤੀ ਤੌਰ ਤੇ ਬਦਲ ਜਾਂਦੇ ਹਨ. ਵਿਗਿਆਨੀਆਂ ਨੇ ਦਿਖਾਇਆ ਹੈ ਕਿ ਇਹ ਵਾਇਰਸ ਕੋਰੋਨਵਾਇਰਸ ਦੇ ਕੁਝ ਮੌਜੂਦਾ ਤਣਾਅ ਤੋਂ ਕੁਦਰਤੀ ਤੌਰ ਤੇ ਵਿਕਸਤ ਹੋਇਆ ਹੈ. ਇਸ ਲਈ ਇਹ ਕੁਦਰਤੀ ਮੂਲ ਦਾ ਹੈ.",காலப்போக்கில் தன்னியல்பாக அணைத்து வைரஸ்களிலும் இயற்கையாகவே திடீர் மரபணுமாற்றம் ஏற்பட்டு மாற்றம் வரும். ஏற்கனவே இருந்த ஒரு ரக கொரோனா வைரஸிலிருந்து தான் இந்த நாவல் கொரோனா வைரஸ் இயற்கையாக பரிணமித்துள்ளது என ஆய்வாளர்கள் சமீபத்தில் நிறுவியுள்ளனர். எனவே இந்த வைரஸ் இயற்கையில் பரிணமித்த ஒன்று தான்.,"ସମସ୍ତ ଭୂତାଣୁ ସମୟ ଅନୁସାର ସ୍ୱାଭାବିକ ଭାବରେ ପରିବର୍ତ୍ତନ ହୁଅନ୍ତି | ଗବେଷକମାନେ ଦର୍ଶାଇଛନ୍ତି ଯେ ଏହି ନୋଭେଲ କରୋନା ଭୁତାଣୁ ମଧ୍ୟ ପୁର୍ବ କରୋନା ଭୂତାଣୁ ମାନଙ୍କଠାରୁ ପ୍ରାକୃତିକ ଭାବରେ ବିବର୍ତ୍ତିତ ହୋଇଥିଲା । ତେଣୁ, ଏହାର ଉତ୍ପତ୍ତି ପ୍ରାକୃତିକ ଅଟେ ।","ఉత్పరివర్తనాల ద్వారా అన్ని వైరసులు సహజంగానే కాలక్రమేణా మారతాయి. ఇప్పటికే ఉన్న కరోనా వైరసులు నుంచి ఈ కొత్త వైరస్ కూడా సహజంగానే తయారు అయ్యింది అని పరిశోధకులు తెలుపుతున్నారు. అందువలన, ఇది సహజ మూలం.","ಎಲ್ಲಾ ವೈರಸ್‌ಗಳು ರೂಪಾಂತರಗಳ ಮೂಲಕ ಕಾಲಾನಂತರದಲ್ಲಿ ಸ್ವಾಭಾವಿಕವಾಗಿ ಬದಲಾಗುತ್ತವೆ. ಈ ವೈರಸ್ ಸಹ ಅಸ್ತಿತ್ವದಲ್ಲಿರುವ ಕೆಲವು ಕೊರೊನಾವೈರಸ್ನಿಂದ ನೈಸರ್ಗಿಕವಾಗಿ ವಿಕಸನಗೊಂಡಿದೆ ಎಂದು ಸಂಶೋಧಕರು ತೋರಿಸಿದ್ದಾರೆ. ಆದ್ದರಿಂದ, ಇದರ ಮೂಲ ನೈಸರ್ಗಿಕವಾಗಿದೆ.","প্রত্যেক ভাইৰাছে প্ৰাকৃতিকভাৱে ভাবে সময়ৰ সৈতে মিউটেচন নামৰ এবিধ প্ৰক্ৰিয়াৰে সলনি হয়। গবেষক সকলে দেখুৱাইছে যে এই ভাইৰাছ বিধেও প্ৰাকৃতিক ভাবে বিকশিত হৈছে পুৰণি কৰ’না ভাইৰাছৰ পৰাই। গতিকে, ই প্ৰাকৃতিক, কৃত্ৰিম  নহয়।",Baroh ki virus ki kylla hi katkum ka por lyngba ka jingkylla dur. Ki ‘riew wadbniah ki shem ba une u virus ruh u mih bad kylla dur hi suki suki na ka jingpang corona. Kumta u dei uba shu mih hi.,تمام وائرسیس میں تغیر کی وجہ سے قدرتی طور پرتبدیلی ہوتی رہتی ہے۔محقق نے معلوم کیا ہے کہ اس وائرس کا ارتقاء قدرتی طور پرپہلے سے موجود کورونا وائرس میں ہوتا رہا ہے۔ اس طرح سے یہ اسکی قدرتی فطرت ہے۔
Image 2,1,दावा:,दावा:,വാദം:,दावी:,দাবী:,દાવો:,ਦਾਅਵਾ:,கூற்று:,ଦାବି:,తీర్పు:,ದಾವೆ:,দাবী :,Ka jingkam ka bym shisha:,دعویٰ :
,2,होमिओपॅथिक किंवा आयुर्वेदिक औषधांच्या सहाय्याने करोनापासून बचाव शक्य आहे.,होमियोपैथी और / या आयुर्वैदिक दवाइयाँ मुझे इस विषाणु से सुरक्षित रखेंगी। ,ഹോമിയോപ്പതി/ആയുർവേദ മരുന്നുകൾ ഈ വൈറസിൽ നിന്ന് എന്നെ സംരക്ഷിക്കും.,होमियोप्याथिक र/वा आयुर्वेदिक औषधिले मलाई यस भाईरसबाट रक्षा गर्छ/ बचाउछ।,হোমিওপ্যাথি এবং/ অথবা আয়ুর্বেদিক ওষুধ এই ভাইরাসের থেকে আমাদের রক্ষা করবে। ,હોમિયોપેથિક અને / અથવા આયુર્વેદિક દવાઓ મને આ વાયરસથી સુરક્ષિત કરશે.,ਹੋਮੀਓਪੈਥਿਕ ਜਾਂ ਆਯੁਰਵੈਦਿਕ ਦਵਾਈਆਂ ਮੈਨੂੰ ਇਸ ਵਾਇਰਸ ਤੋਂ ਬਚਾਉਣਗੀਆਂ.,ஹோமியோபதி மற்றும் / அல்லது ஆயுர்வேத மருந்துகள் இந்த வைரஸிலிருந்து என்னைப் பாதுகாக்கும்.,"ହୋମିଓପାଥିକ୍ କିମ୍ବା ଆୟୁର୍ବେଦିକ ଔଷଧ ମୋତେ ଏହି ଭୂତାଣୁରୁ ରକ୍ଷା କରିବ ।",హోమియోపతి మరియు/లేదా ఆయుర్వేద ఔషధాలు ఈ వైరస్ నుండి మనల్ని రక్షిస్తాయి.,ಹೋಮಿಯೋಪತಿ ಮತ್ತು / ಅಥವಾ ಆಯುರ್ವೇದ ಔಷಧಿಗಳು ಈ ವೈರಸ್‌ನಿಂದ ನನ್ನನ್ನು ರಕ್ಷಿಸುತ್ತವೆ.,হোমিওপেথিক আৰু/বা আয়ুর্বেদিক দৰবে মোক এই ৰোগৰ পৰা বছাব।,Ki dawai Homeopathic bad/lane Ayurvedic ki їarap їa nga ban їada na une u virus.,ہومیوپیتھک اور/ یا آیورویدیک دوائیں ہمیں اس وائرس سے بچاِئیں گی۔
,3,निर्णय:,निर्णय:,ശാസ്ത്രീയ പ്രതികരണം: ,निर्णय :,উত্তর:,નિષ્કર્ષ:,ਜਵਾਬ:,தீர்ப்பு:,ନିର୍ଣୟ :,తీర్పు:,ತೀರ್ಪು:,উত্তৰ :,Ka jingshem:,فیصلہ:
,4,खरं नाही.,असत्य / झूठ !,ശരിയല്ല!,सत्य होइन । ,কোনো প্রমাণ নেই।,સાચું નથી!,ਗਲਤ!,உண்மை இல்லை!,ସତ ନୁହେଁ!,ఇది నిజం కాదు!,ನಿಜವಲ್ಲ!,মিছা !,Kam dei kaba shisha!,یہ سچ نہیں ہے۔
,5,,,,,,,,,,,,,,
